src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.69,189.93.248.5,41641,43065,17,2025-12-09 14:32:01,108.13078618049622,324.5884103849298,2.043821263179369,1.04503078162565,0.9987904815537186,113,108,17946,17152,282,74,158.81415929203538,24.19922790861014,202,134,158.8148148148148,10.01124196623212,282,74,158.81447963800906,18.665596594334616,348.404496222436,2260,2160,20,113,0.49150357354771007,8.70188570022583,0.0,1.125384572758835,108.13078498840332,8.702619314193726,0.0,0.9654534373964582,1.4594355375125854,108.12848711013794,8.70188570022583,2.384185791015625e-07,1.010546608505962,1.5220398913164734,0,0,0,0,0,0,0,0,0,0,0,0.9557522123893806,158.81447963800906,0,0,0,0,0,0,0,0,0,0,468.0,4.0,0,0,14548.875422472576,0,158.81415929203538,158.8148148148148,0,113,108,17946,17152
192.168.1.223,142.250.219.42,32956,443,6,2025-12-09 14:32:02,120.52987098693848,35.32734221926969,0.2737910505485908,0.2737910505485908,0.0,33,0,4258,0,1687,66,129.03030303030303,277.238818923487,0,0,0,0.0,1687,66,129.03030303030303,277.238818923487,76861.36271809,660,0,20,5,3.7665584683418274,20.050123929977417,0.0,7.384719915000646,120.52987098693848,20.050123929977417,0.0,3.7665584683418274,7.384719915000646,0,0,0,0,0,5,0,0,0,0,0,0,5,33,0,0,0.0,129.03030303030303,79,0,0,0,0,0,0,0,0,0,1924.0,5.0,0,0,4372.956548645088,0,129.03030303030303,0,0,33,0,4258,0
192.168.1.223,192.200.0.116,33850,443,6,2025-12-09 14:32:03,105.0199031829834,5.256146532893031,0.07617603670859466,0.07617603670859466,0.0,8,0,552,0,78,66,69.0,5.196152422706632,0,0,0,0.0,78,66,69.0,5.196152422706632,27.0,160,0,20,0,15.002843311854772,30.05995225906372,0.0,13.263679325597383,105.0199031829834,30.05995225906372,0.0,15.002843311854772,13.263679325597383,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.0,69.0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,0,0,8,0,552,0
192.168.1.69,199.165.136.100,43766,443,6,2025-12-09 14:32:03,98.18981623649597,138.95534713230973,0.7434579551933898,0.49903342197912465,0.24442453321426513,49,24,10702,2942,721,66,218.40816326530611,227.87383891963844,163,66,122.58333333333333,47.82164491338856,721,66,186.9041095890411,193.99224418782592,37632.990805029076,980,480,20,15,1.3637474477291107,30.279054641723633,0.0,4.864508508288424,97.9698531627655,30.279054641723633,0.0,2.041038607557615,5.841137243247896,98.01792907714844,30.539753913879395,0.00017786026000976562,4.261649090310802,8.004503008300862,15,14,0,0,0,0,0,29,73,0,0,0.4897959183673469,186.9041095890411,525,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.40816326530611,122.58333333333333,0,49,24,10702,2942
192.168.1.223,151.101.13.91,53528,443,6,2025-12-09 14:32:03,114.91984248161316,43.73483196171406,0.5830150699233668,0.5830150699233668,0.0,67,0,5026,0,98,66,75.01492537313433,10.165044783088366,0,0,0,0.0,98,66,75.01492537313433,10.165044783088366,103.328135442192,1340,0,20,8,1.7412097345698963,14.740082263946533,0.0,3.5591183971357006,114.91984248161316,14.740082263946533,0.0,1.7412097345698963,3.5591183971357006,0,0,0,0,0,8,0,0,0,0,0,0,8,67,0,0,0.0,75.01492537313433,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.01492537313433,0,0,67,0,5026,0
192.168.1.223,172.237.61.197,40296,443,6,2025-12-09 14:32:16,94.78990745544434,6.51968143644922,0.09494681703566826,0.09494681703566826,0.0,9,0,618,0,78,66,68.66666666666667,4.988876515698589,0,0,0,0.0,78,66,68.66666666666667,4.988876515698589,24.888888888888893,180,0,20,0,11.848738431930542,30.28002619743347,0.0,14.291185241484401,94.78990745544434,30.28002619743347,0.0,11.848738431930542,14.291185241484401,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.0,68.66666666666667,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.66666666666667,0,0,9,0,618,0
192.168.1.223,34.120.52.64,46436,443,6,2025-12-09 14:32:16,100.72988080978394,12.617904337642651,0.15884065255883748,0.15884065255883748,0.0,16,0,1271,0,97,66,79.4375,12.835345486195532,0,0,0,0.0,97,66,79.4375,12.835345486195532,164.74609375,320,0,20,5,6.715325387318929,25.099918842315674,0.0,11.053332082801521,100.72988080978394,25.099918842315674,0.0,6.715325387318929,11.053332082801521,0,0,0,0,0,5,0,0,0,0,0,0,5,16,0,0,0.0,79.4375,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.4375,0,0,16,0,1271,0
172.237.61.197,192.168.1.69,443,44296,6,2025-12-09 14:32:17,90.83660435676575,24.82479410110228,0.2752194467971428,0.12109655659074282,0.15412289020639997,11,14,861,1394,93,66,78.27272727272727,13.444099138763168,277,66,99.57142857142857,72.6239967087958,277,66,90.2,56.07922966660651,3144.879999999999,220,280,20,5,3.7848585148652396,30.249054670333862,0.0,9.684362452644926,90.83660435676575,30.392878770828247,0.0,9.083660435676574,13.370795127569165,90.83638834953308,30.249054670333862,3.5762786865234375e-05,6.987414488425622,12.299535475005085,5,2,0,0,0,0,0,7,25,0,0,1.2727272727272727,90.2,1927,3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.27272727272727,99.57142857142857,0,11,14,861,1394
192.168.1.223,35.186.224.39,33244,443,6,2025-12-09 14:32:21,90.2798912525177,12.416940078765744,0.14399662892413442,0.14399662892413442,0.0,13,0,1121,0,109,66,86.23076923076923,18.605846253070553,0,0,0,0.0,109,66,86.23076923076923,18.605846253070553,346.1775147928995,260,0,20,5,7.523324271043141,29.84011673927307,0.0,12.861517938171527,90.2798912525177,29.84011673927307,0.0,7.523324271043141,12.861517938171527,0,0,0,0,0,5,0,0,0,0,0,0,5,13,0,0,0.0,86.23076923076923,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.23076923076923,0,0,13,0,1121,0
192.168.1.223,35.186.224.24,55532,443,6,2025-12-09 14:32:22,94.23991966247559,2.801360622393648,0.04244485791505528,0.04244485791505528,0.0,4,0,264,0,66,66,66.0,0.0,0,0,0,0.0,66,66,66.0,0.0,0.0,80,0,20,0,31.413306554158527,49.08992052078247,0.0,22.27072243428587,94.23991966247559,49.08992052078247,0.0,31.413306554158527,22.27072243428587,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0,66.0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,4,0,264,0
