src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.216,172.217.192.188,42446,5228,6,2025-12-11 19:26:45,101.88008785247803,3.729875071861329,0.04907730357712275,0.04907730357712275,0.0,5,0,380,0,104,66,76.0,14.75127113166862,0,0,0,0.0,104,66,76.0,14.75127113166862,217.6,100,0,20,1,25.470021963119507,101.66014409065247,0.0,43.98841043091434,101.88008785247803,101.66014409065247,0.0,25.470021963119507,43.98841043091434,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0.0,76.0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,0,0,5,0,380,0
192.168.1.216,172.217.162.206,46753,443,17,2025-12-11 19:25:13,0.11046218872070312,11243.666401906275,90.52871499119384,90.52871499119384,0.0,10,0,1242,0,335,74,124.2,81.45894671550818,0,0,0,0.0,335,74,124.2,81.45894671550818,6635.56,200,0,20,10,0.012273576524522569,0.11007547378540039,0.0,0.034578208828842064,0.11046218872070312,0.11007547378540039,0.0,0.012273576524522569,0.034578208828842064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,124.2,0,0,0,0,0,0,0,0,0,0,682.0,9.0,0,0,6174.05836239942,0,124.2,0,0,10,0,1242,0
192.168.1.216,189.43.122.205,41239,443,17,2025-12-11 19:25:13,0.00023865699768066406,2660722.3176823175,12570.341658341658,12570.341658341658,0.0,3,0,635,0,279,77,211.66666666666666,95.2237131997884,0,0,0,0.0,279,77,211.66666666666666,95.2237131997884,9067.555555555557,60,0,20,3,0.00011932849884033203,0.00023865699768066406,0.0,0.00011932849884033203,0.00023865699768066406,0.00023865699768066406,0.0,0.00011932849884033203,0.00011932849884033203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,211.66666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.66666666666666,0,0,3,0,635,0
192.168.1.216,189.43.122.204,43720,443,17,2025-12-11 19:25:13,0.0002765655517578125,3594084.6344827586,18078.896551724138,18078.896551724138,0.0,5,0,994,0,280,77,198.8,99.44928355699703,0,0,0,0.0,280,77,198.8,99.44928355699703,9890.16,100,0,20,5,6.914138793945312e-05,0.00016236305236816406,0.0,6.020269768269981e-05,0.0002765655517578125,0.00016236305236816406,0.0,6.914138793945312e-05,6.020269768269981e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,198.8,0,0,0,0,0,0,0,0,0,0,546.0,4.0,0,0,1974215.5034482758,0,198.8,0,0,5,0,994,0
192.168.1.200,192.168.1.69,56230,22,6,2025-12-11 19:27:15,122.88015747070312,2.148434746781167,0.03255204161789647,0.024414031213422352,0.008138010404474117,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,40.960052490234375,122.8799819946289,0.0,57.9261376669256,122.88015747070312,122.88015747070312,0.0,61.44007873535156,61.44007873535156,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.3333333333333333,66.0,63,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.237.61.197,192.168.1.69,443,44296,6,2025-12-11 19:27:17,91.17106008529663,21.980659193006243,0.30711499870467807,0.14258910654145768,0.1645258921632204,13,15,966,1038,93,66,74.3076923076923,12.461538461538463,78,66,69.2,5.3065996645686395,93,66,71.57142857142857,9.678505534831041,93.6734693877551,260,300,20,4,3.3767059290850603,30.312686920166016,0.0,9.450995465851157,91.17106008529663,30.459027528762817,0.0,7.597588340441386,13.061979876492419,91.14035940170288,30.312686920166016,4.4345855712890625e-05,6.510025671550205,12.323662425166848,4,0,0,0,0,0,0,4,28,0,0,1.1538461538461537,71.57142857142857,2013,3450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.3076923076923,69.2,0,13,15,966,1038
192.168.1.216,224.0.0.251,5353,5353,17,2025-12-11 19:27:17,114.98017740249634,32.57083163900817,0.30440029569166516,0.30440029569166516,0.0,35,0,3745,0,119,82,107.0,11.696153213770756,0,0,0,0.0,119,82,107.0,11.696153213770756,136.8,700,0,20,35,3.3817699236028336,38.40205478668213,0.0,8.390988550438651,114.98017740249634,38.40205478668213,0.0,3.3817699236028336,8.390988550438651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,107.0,0,0,0,0,0,0,0,0,0,0,564.6666666666666,8.666666666666666,0,0,332.3605958656811,0,107.0,0,0,35,0,3745,0
192.168.1.223,162.159.133.234,46996,443,6,2025-12-11 19:27:27,104.15011048316956,70.97448063864063,0.9505510799817941,0.9505510799817941,0.0,99,0,7392,0,164,66,74.66666666666667,16.860688843663187,0,0,0,0.0,164,66,74.66666666666667,16.860688843663187,284.2828282828283,1980,0,20,3,1.0627562294200974,15.309990644454956,0.0,2.598724712193346,104.15011048316956,15.309990644454956,0.0,1.0627562294200974,2.598724712193346,0,0,0,0,0,3,0,0,0,0,0,0,3,99,0,0,0.0,74.66666666666667,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.66666666666667,0,0,99,0,7392,0
192.168.1.223,35.186.224.39,42984,443,6,2025-12-11 19:27:35,90.26007437705994,12.419666255946582,0.14402824382453663,0.14402824382453663,0.0,13,0,1121,0,109,66,86.23076923076923,18.605846253070553,0,0,0,0.0,109,66,86.23076923076923,18.605846253070553,346.1775147928995,260,0,20,5,7.521672864754994,29.760038137435913,0.0,12.837475453485503,90.26007437705994,29.760038137435913,0.0,7.521672864754994,12.837475453485503,0,0,0,0,0,5,0,0,0,0,0,0,5,13,0,0,0.0,86.23076923076923,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.23076923076923,0,0,13,0,1121,0
192.168.1.216,239.255.255.250,41092,1900,17,2025-12-11 19:25:35,0.057065486907958984,8779.387106747441,52.571180279924796,52.571180279924796,0.0,3,0,501,0,167,167,167.0,0.0,0,0,0,0.0,167,167,167.0,0.0,0.0,60,0,20,3,0.028532743453979492,0.057065486907958984,0.0,0.028532743453979492,0.057065486907958984,0.057065486907958984,0.0,0.028532743453979492,0.028532743453979492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,167.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.0,0,0,3,0,501,0
