src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.200.0.116,192.168.1.69,443,39594,6,2025-12-15 10:24:30,134.95676016807556,7.268994889757724,0.08150758795854736,0.05186846506453014,0.029639122894017222,7,4,717,264,151,66,102.42857142857143,42.06409104095845,66,66,66.0,0.0,151,66,89.18181818181819,37.85575057028548,1433.0578512396694,140,80,20,3,13.495676016807556,30.401812314987183,0.0,13.58500362643522,134.95676016807556,30.648103952407837,0.0,22.492793361345928,10.500147859017504,86.72180438041687,30.401812314987183,26.097536325454712,28.907268126805622,1.9881292365591674,3,0,0,0,0,0,0,3,11,0,0,0.5714285714285714,89.18181818181819,602,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.42857142857143,66.0,0,7,4,717,264
192.168.1.69,192.168.1.223,22,38318,6,2025-12-15 10:25:27,122.87981224060059,1.6113305870968693,0.02441409980449802,0.016276066536332012,0.008138033268166006,2,1,132,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,40,20,20,0,61.43990612030029,122.87981224060059,0.0,61.43990612030029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,66.0,525,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,2,1,132,66
192.168.1.69,172.237.61.197,47840,443,6,2025-12-15 10:25:55,91.18630337715149,10.001502048261772,0.14256527042478404,0.07676591484411448,0.06579935558066956,7,6,462,450,66,66,66.0,0.0,93,66,75.0,12.727922061357855,93,66,70.15384615384616,9.74163273194097,94.89940828402368,140,120,20,0,7.598858614762624,30.49916100502014,0.0,13.095685870089035,91.13603138923645,30.49916100502014,0.0,15.189338564872742,15.111904755095884,91.15173244476318,30.533836126327515,0.025820016860961914,18.230346488952637,14.799079215785405,0,2,0,0,0,0,0,2,13,0,0,0.8571428571428571,70.15384615384616,515,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,75.0,0,7,6,462,450
192.168.1.194,192.168.1.255,137,137,17,2025-12-15 10:24:24,0.0,0,0,0,0,2,0,220,0,110,110,110.0,0.0,0,0,0,0.0,110,110,110.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.0,0,0,2,0,220,0
192.168.1.69,192.200.0.116,39594,443,6,2025-12-15 10:26:45,138.20367407798767,6.483185096037255,0.07959267417010023,0.050649883562791057,0.028942790607309175,7,4,462,434,66,66,66.0,0.0,151,66,108.5,42.5,151,66,81.45454545454545,32.78404167319447,1074.793388429752,140,80,20,0,13.820367407798766,30.32668161392212,0.0,13.95391437774202,138.20367407798767,30.32668161392212,0.0,23.033945679664612,10.778712374847526,77.73695063591003,30.572951793670654,21.136972665786743,25.912316878636677,3.8530761903289066,0,2,0,0,0,0,0,2,11,0,0,0.5714285714285714,81.45454545454545,468,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,108.5,0,7,4,462,434
192.168.1.69,15.223.125.239,56678,443,6,2025-12-15 10:25:01,7.0901713371276855,1117.6034574095509,4.372249770279667,2.679765988235925,1.692483782043742,19,12,2207,5717,583,66,116.15789473684211,117.82112363458106,1514,66,476.4166666666667,595.373336421965,1514,66,255.61290322580646,420.13612827882315,176514.36628511976,380,240,20,5,0.23633904457092286,2.0418944358825684,0.0,0.4784651921481894,7.0901713371276855,2.21496319770813,0.0,0.39389840761820477,0.5995097036819885,2.8088247776031494,2.0418944358825684,7.152557373046875e-07,0.2553477070548318,0.571098337962772,5,6,0,0,2,7,0,11,25,0,0,0.631578947368421,255.61290322580646,64240,26847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.15789473684211,476.4166666666667,0,19,12,2207,5717
192.168.1.69,192.168.1.223,22,38318,6,2025-12-15 10:27:30,122.87973666191101,1.6113315781655153,0.024414114820689625,0.016276076547126418,0.008138038273563209,2,1,132,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,40,20,20,0,61.439868330955505,122.87973666191101,0.0,61.439868330955505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,66.0,525,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,2,1,132,66
192.168.1.69,172.237.61.197,47840,443,6,2025-12-15 10:27:57,91.17393517494202,10.002858802245179,0.14258461011972293,0.07677632852600466,0.06580828159371828,7,6,462,450,66,66,66.0,0.0,93,66,75.0,12.727922061357855,93,66,70.15384615384616,9.74163273194097,94.89940828402366,140,120,20,0,7.597827931245168,30.401937246322632,0.0,13.063433328297458,91.13600182533264,30.401937246322632,0.0,15.18933363755544,15.046812695991042,91.13727855682373,30.437676191329956,0.07491540908813477,18.227455711364748,14.737734677246484,0,2,0,0,0,0,0,2,13,0,0,0.8571428571428571,70.15384615384616,515,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,75.0,0,7,6,462,450
192.200.0.116,192.168.1.69,443,39594,6,2025-12-15 10:29:04,127.43488574028015,7.698049041291065,0.08631859271580195,0.05493001354641942,0.03138857916938253,7,4,717,264,151,66,102.42857142857143,42.06409104095845,66,66,66.0,0.0,151,66,89.18181818181819,37.85575057028548,1433.0578512396694,140,80,20,3,12.743488574028015,30.37827777862549,0.0,12.958069834691344,127.43488574028015,30.6267728805542,0.0,21.239147623380024,10.21880411765336,83.41559767723083,30.37827777862549,22.869717359542847,27.80519922574361,3.4909723528780794,3,0,0,0,0,0,0,3,11,0,0,0.5714285714285714,89.18181818181819,602,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.42857142857143,66.0,0,7,4,717,264
192.168.1.69,192.168.1.223,22,38318,6,2025-12-15 10:29:32,122.88019633293152,1.6113255504860924,0.024414023492213523,0.01627601566147568,0.00813800783073784,2,1,132,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,40,20,20,0,61.44009816646576,122.88019633293152,0.0,61.44009816646576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,66.0,525,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,2,1,132,66
192.168.1.69,172.237.61.197,47840,443,6,2025-12-15 10:29:58,91.68474769592285,9.947128861876728,0.1417902140399095,0.07634857679072049,0.065441637249189,7,6,462,450,66,66,66.0,0.0,93,66,75.0,12.727922061357855,93,66,70.15384615384616,9.74163273194097,94.89940828402366,140,120,20,0,7.640395641326904,30.511860132217407,0.0,13.099962364314399,91.64802885055542,30.511860132217407,0.0,15.27467147509257,15.06752532049276,91.64840722084045,30.54873561859131,0.17168521881103516,18.32968144416809,14.741836904563245,0,2,0,0,0,0,0,2,13,0,0,0.8571428571428571,70.15384615384616,515,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,75.0,0,7,6,462,450
192.168.1.69,192.200.0.116,39594,443,6,2025-12-15 10:31:11,141.10526752471924,6.3498692551859275,0.07795598415964866,0.04960835355614006,0.028347630603508606,7,4,462,434,66,66,66.0,0.0,151,66,108.5,42.5,151,66,81.45454545454545,32.78404167319447,1074.793388429752,140,80,20,0,14.110526752471923,30.466318607330322,0.0,14.194523137279303,141.10526752471924,30.466318607330322,0.0,23.517544587453205,10.894300768272648,80.38930892944336,30.64357089996338,22.022672414779663,26.796436309814453,3.5799398574525116,0,2,0,0,0,0,0,2,11,0,0,0.5714285714285714,81.45454545454545,468,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,108.5,0,7,4,462,434
